  PYTHIA EVENT FILE 
 ============================================
I, ievent, genevent, subprocess, nucleon,                 targetparton, xtargparton, beamparton, xbeamparton,               thetabeamprtn, truey, trueQ2, truex, trueW2, trueNu, leptonphi,   s_hat, t_hat, u_hat, pt2_hat, Q2_hat, F2, F1, R, sigma_rad,       SigRadCor, EBrems, photonflux, t-diff, nrTracks
 ============================================
  I  K(I,1)  K(I,2)  K(I,3)  K(I,4)  K(I,5)            P(I,1)  P(I,2)  P(I,3)  P(I,4)  P(I,5)  V(I,1)  V(I,2)  V(I,3)
 ============================================
   0          1    1   11 2212          1  0.090137            2     0.675612     0.020557      0.12768118372        0.36923664808        0.00289160968      128.20353698730       68.04673767090        0.81982322395        7.80732071755          -2.032443749          -5.774876969           1.503347053           1.503347053           0.168718189          21.978286743           0.314736209           0.002304333           1.466787457           0.000000000           0.621129390          -2.032443749             52
 ============================================
    41      1         22       29        0        0       -0.015552        0.080210        0.088756        0.120637        0.000000       -0.000028        0.000026        0.000048
    42      1         22       29        0        0       -0.319548        0.223801        0.482890        0.620791        0.000000       -0.000028        0.000026        0.000048
    43      1       -211       30        0        0        0.045090        0.096180        0.409325        0.445320        0.139570        0.000000        0.000000        0.000000
    44     11        111       30       52       53        0.245939       -0.418083        5.196945        5.221277        0.134980        0.000000        0.000000        0.000000
    45      1       2212       31        0        0        0.076249       -0.132281       24.205925       24.224584        0.938270        0.000000        0.000000        0.000000
    46      1        211       31        0        0        0.040561       -0.009274        6.511985        6.513613        0.139570        0.000000        0.000000        0.000000
    47      1         22       33        0        0       -0.155488        0.039729       -0.193573        0.251447        0.000000       -0.000077        0.000012       -0.000057
    48      1         22       33        0        0       -0.440473        0.051650       -0.249551        0.508881        0.000000       -0.000077        0.000012       -0.000057
    49      1         22       35        0        0       -0.215039       -0.022121       -0.006045        0.216258        0.000000       -0.000055       -0.000005       -0.000000
    50      1        -11       35        0        0        0.011040        0.002632       -0.005563        0.012650        0.000510       -0.000055       -0.000005       -0.000000
    51      1         11       35        0        0        0.005674        0.001328        0.010115        0.011684        0.000510       -0.000055       -0.000005       -0.000000
    52      1         22       44        0        0        0.038880       -0.082688        0.539499        0.547182        0.000000        0.000009       -0.000016        0.000196
    53      1         22       44        0        0        0.207060       -0.335394        4.657446        4.674095        0.000000        0.000009       -0.000016        0.000196
 =============== Event finished ===============
   0          3    1   28 2212         21  0.074914           -2     0.348754     0.072786      0.25010058143        0.83319258690        0.00333113666      250.16978454590      133.28926086426        2.05651535100        6.53604022631          -0.992759705          -5.543280521           0.841969349           0.841969349           0.227002874          27.416530609           0.404339097           0.000577124           1.453364968           6.912822166           0.591900587          -0.992759705             72
 ============================================
     1     21         11        0        3        4        0.000000        0.000000       -5.000000        5.000000        0.000510        0.000000        0.000000        0.000000
     2     21       2212        0        5        0       -0.000000        0.000000       50.000000       50.008803        0.938270        0.000000        0.000000        0.000000
     3     21         11        1        0        0        0.369017        0.699026       -3.707834        3.791153        0.000510        0.000000        0.000000        0.000000
     4     21         22        1        0        0       -0.369017       -0.699026       -1.292166        1.208847       -0.912794        0.000000        0.000000        0.000000
     5     21       2212        2        0        0       -0.000000       -0.000000       50.000000       50.008803        0.938270        0.000000        0.000000        0.000000
     6     21         -2        4        0        0       -0.070446       -0.357808       -0.360847        0.513030       -0.000000        0.000000        0.000000        0.000000
     7     21         21        5        0        0       -0.138293       -0.243850        3.844682        3.854889       -0.000000        0.000000        0.000000        0.000000
     8     21         -2        6        0        0       -0.070446       -0.357808       -0.360847        0.513030        0.000000        0.000000        0.000000        0.000000
     9     21         21        7        0        0       -0.138293       -0.243850        3.844682        3.854889        0.000000        0.000000        0.000000        0.000000
    10     21         -2        0        0        0       -0.699200       -1.035345        0.625586        1.435646        0.330000        0.000000        0.000000        0.000000
    11     21         21        0        0        0        0.490461        0.433687        2.858249        2.932273        0.000000        0.000000        0.000000        0.000000
    12     11       -423        4       20       21       -0.189480        0.290269        1.965250        2.830055        2.006700        0.000000        0.000000        0.000000
    13      1         11        3        0        0        0.369017        0.699026       -3.707834        3.791153        0.000510        0.000000        0.000000        0.000000
    14     12         -2       10       22       22       -0.558107       -0.828607        0.523994        1.175391        0.330000        0.000000        0.000000        0.000000
    15     12         21       11       22       22        0.610783       -0.239145        1.790316        1.906693        0.000000        0.000000        0.000000        0.000000
    16     12         21       11       22       22       -0.261416        0.466095        1.169525        1.285835        0.000000        0.000000        0.000000        0.000000
    17     11          2        5       22       22        0.002939        0.205721        0.906828        0.986695        0.330000        0.000000        0.000000        0.000000
    18     12          4        4       27       27       -0.096349       -0.607350        1.603353        2.280109        1.500000        0.000000        0.000000        0.000000
    19     11       2101        5       27       27        0.122612        0.013992       40.748567       40.752871        0.579330        0.000000        0.000000        0.000000
    20     11       -421       12       33       36       -0.138095        0.278124        1.850252        2.645036        1.864500        0.000000        0.000000        0.000000
    21     11        111       12       37       38       -0.051384        0.012145        0.114998        0.185019        0.134980        0.000000        0.000000        0.000000
    22     11         92       14       23       26       -0.205800       -0.395937        4.390664        5.354614        3.032300        0.000000        0.000000        0.000000
    23     11        113       22       39       40       -0.115831       -0.423508        0.772742        1.169430        0.760040        0.000000        0.000000        0.000000
    24      1       -211       22        0        0       -0.213784        0.197403        0.464332        0.565470        0.139570        0.000000        0.000000        0.000000
    25     11        113       22       41       42       -0.106211        0.417459        1.697467        1.846655        0.585823        0.000000        0.000000        0.000000
    26     11        213       22       43       44        0.230026       -0.587291        1.456122        1.773058        0.790963        0.000000        0.000000        0.000000
    27     11         92       18       28       32        0.026263       -0.593357       42.351920       43.032981        7.602602        0.000000        0.000000        0.000000
    28     11        433       27       45       46        0.559743       -0.458438        6.542637        6.913162        2.112400        0.000000        0.000000        0.000000
    29     11       -323       27       47       48       -0.818669        0.222994        4.628413        4.782717        0.855708        0.000000        0.000000        0.000000
    30     11        113       27       49       50       -0.041964       -0.626814        5.460243        5.568588        0.894572        0.000000        0.000000        0.000000
    31      1        211       27        0        0        0.229849        0.523093        8.797973        8.817611        0.139570        0.000000        0.000000        0.000000
    32      1       2112       27        0        0        0.097304       -0.254192       16.922654       16.950902        0.939570        0.000000        0.000000        0.000000
    33      1        321       20        0        0       -0.429627        0.246052        0.746977        1.023101        0.493600       -0.002998        0.006037        0.040164
    34      1       -211       20        0        0        0.011928        0.515456        0.338665        0.632464        0.139570       -0.002998        0.006037        0.040164
    35     11        111       20       51       52        0.159381       -0.195299        0.310228        0.421907        0.134980       -0.002998        0.006037        0.040164
    36     11        111       20       53       54        0.120223       -0.288085        0.454382        0.567564        0.134980       -0.002998        0.006037        0.040164
    37      1         22       21        0        0       -0.085946       -0.017429        0.107801        0.138966        0.000000       -0.000017        0.000004        0.000038
    38      1         22       21        0        0        0.034561        0.029574        0.007197        0.046053        0.000000       -0.000017        0.000004        0.000038
    39      1       -211       23        0        0       -0.084465       -0.514033        0.830777        0.990471        0.139570        0.000000        0.000000        0.000000
    40      1        211       23        0        0       -0.031367        0.090524       -0.058034        0.178959        0.139570        0.000000        0.000000        0.000000
